date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:34	97108/97108	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:13%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-tab-style-2.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-tab-style-2.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:34	97085/97085	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:16%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-tab-style-3.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-tab-style-3.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:35	93077/93077	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:11%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-sticky-left.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-sticky-left.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:35	93100/93100	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:14%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-sticky-right.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-sticky-right.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:36	93750/93750	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:06%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-gallery-left.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-gallery-left.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:37	93773/93773	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:06%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-gallery-right.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-gallery-right.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:37	93819/93819	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:10%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-slider-box.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-slider-box.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:38	93758/93758	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:10%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-slider-full-width.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-slider-full-width.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:38	78219/78219	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:00%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:39	78196/78196	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:55%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-right-sidebar.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-right-sidebar.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:39	64871/64871	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:51%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-3-column.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-3-column.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:40	64948/64948	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:51%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-4-column.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-4-column.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:40	64860/64860	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:54%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-list.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-list.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:41	78303/78303	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:53%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-list-left-sidebar.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-list-left-sidebar.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:41	78248/78248	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:54%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-list-right-sidebar.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-list-right-sidebar.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:42	76818/76818	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:52%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-details-image.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-details-image.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:43	77059/77059	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:51%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-details-audio.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-details-audio.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:43	76921/76921	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:54%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-details-video.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-details-video.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:44	77427/77427	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:52%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-details-gallery.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-details-gallery.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:45	77015/77015	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:53%20GMT	http://demo.devitems.com/mirora-v2/mirora/blog-details-right-sidebar.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/blog-details-right-sidebar.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:45	59320/59320	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:56%20GMT	http://demo.devitems.com/mirora-v2/mirora/compare.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/compare.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:46	89579/89579	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:04%20GMT	http://demo.devitems.com/mirora-v2/mirora/my-account.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/my-account.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:46	47564/47564	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:47%20GMT	http://demo.devitems.com/mirora-v2/mirora/404.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/404.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:47	58837/58837	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:58%20GMT	http://demo.devitems.com/mirora-v2/mirora/faq.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/faq.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:47	54773/54773	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:49%20GMT	http://demo.devitems.com/mirora-v2/mirora/about.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/about.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:48	56638/56638	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:57%20GMT	http://demo.devitems.com/mirora-v2/mirora/contact.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/contact.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:49	6625/6625	---M--	200	added ('OK')	image/jpeg	etag:%221189d80483c256f2e7d9f134994d743a%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/banner/img1-top-mirora1.jpg	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/banner/img1-top-mirora1.jpg	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:50	8190/8190	---M--	200	added ('OK')	image/jpeg	etag:%2288aa0cbb70c904d8880902b175349089%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/banner/img2-top-mirora1.jpg	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/banner/img2-top-mirora1.jpg	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:50	6156/6156	---M--	200	added ('OK')	image/jpeg	etag:%22ee16fb5ebad183eaa32f312336db3e30%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/banner/img3-top-mirora1.jpg	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/banner/img3-top-mirora1.jpg	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:51	37818/37818	---M--	200	added ('OK')	image/jpeg	etag:%22266bc812dc47d827dbfde585ec91d908%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/slider/slider1-mirora1-1920x634.jpg	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/slider/slider1-mirora1-1920x634.jpg	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:52	8156/8156	---M--	200	added ('OK')	image/jpeg	etag:%223503f1d03a57f1e8d16c062a527c9454%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/products/1-450x450.jpg	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/products/1-450x450.jpg	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
